NumberofPlayers,DateTime,WheelResult,MultiplierResult,Totalwinnings,Totalwinners,Firstwinner,Secondwinner,Thirdwinner,Fourthwinner,Fifthwinner
13193.0,2024-12-01T10:22:57.476Z,"""Pachinko""",10.0,36969.0,6103.0,1100.0,966.11,727.9,623.91,614.86
13193.0,2024-12-01T10:24:20.501Z,"""2""",2.0,12545.0,4958.0,902.99,609.92,451.5,349.5,283.6
13193.0,2024-12-01T10:25:03.160Z,"""1""",1.0,10163.0,3520.0,4040.1,491.57,361.2,361.2,101.25
14015.0,2024-12-01T10:25:44.151Z,"""5""",5.0,23267.0,5369.0,2268.77,1047.56,1006.13,722.4,567.19
14015.0,2024-12-01T10:26:23.813Z,"""2""",2.0,14125.0,4785.0,1593.04,903.31,722.4,523.78,451.5
14001.0,2024-12-01T10:27:05.383Z,"""1""",1.0,6157.0,3376.0,491.57,361.2,251.42,247.04,149.68
13657.0,2024-12-01T10:27:47.587Z,"""10""",10.0,41659.0,5010.0,2649.72,2079.7,1636.71,1351.81,1108.62
13657.0,2024-12-01T10:28:26.956Z,"""1""",1.0,6019.0,3326.0,680.63,371.85,361.2,200,120.17
13781.0,2024-12-01T10:29:09.618Z,"""5""",5.0,23541.0,5065.0,2268.77,1806.62,1047.56,722.4,708.99
13565.0,2024-12-01T10:30:25.693Z,"""CoinFlip""",16.0,56948.0,6875.0,1152.07,850.0,850,803.52,642.82
14023.0,2024-12-01T10:31:04.916Z,"""1""",1.0,5856.0,3383.0,680.63,361.2,345.62,150,141.17
13760.0,2024-12-01T10:31:41.517Z,"""1""",1.0,5390.0,3396.0,680.63,361.2,150,141.17,70
13498.0,2024-12-01T10:32:27.415Z,"""1""",1.0,6971.0,3358.0,1575.63,680.63,361.2,100,79.12
13498.0,2024-12-01T10:33:10.290Z,"""10""",10.0,37035.0,4693.0,2649.72,2079.7,1351.81,1330.34,662.2
13498.0,2024-12-01T10:34:33.457Z,"""2""",2.0,16127.0,5019.0,1077.5,921.69,903.31,523.78,451.5
13498.0,2024-12-01T10:35:13.698Z,"""1""",1.0,6236.0,3280.0,825.63,680.63,361.2,126.23,89.43
13498.0,2024-12-01T10:35:52.488Z,"""2""",2.0,13899.0,4382.0,1219.84,921.69,903.31,567.19,451.5
13650.0,2024-12-01T10:36:59.871Z,"""CoinFlip""",10.0,45618.0,6572.0,9900.0,745.46,550,550,519.93
13803.0,2024-12-01T10:38:33.876Z,"""CashHunt""",19.0,69474.0,6953.0,4800.0,3040.08,1155,1084.3,1083.71
14737.0,2024-12-01T10:39:38.901Z,"""CoinFlip""",8.0,30349.0,6809.0,850.79,609.92,450,450,425.39
14758.0,2024-12-01T10:40:17.224Z,"""1""",1.0,6584.0,3804.0,574.67,361.2,352.92,257.52,167.69
14758.0,2024-12-01T10:41:01.925Z,"""1""",1.0,5395.0,3679.0,574.67,361.2,122.89,100,89.88
14495.0,2024-12-01T10:41:46.849Z,"""2""",2.0,14672.0,4915.0,903.31,813.22,646.5,523.78,451.5
14232.0,2024-12-01T10:42:33.765Z,"""2""",2.0,14538.0,4933.0,1016.53,903.31,825,523.78,451.5
