,8X in next 2 results,18X in next 4 results,28X in next 7 results,38X in next 9 results,48X in next 12 results,58X in next 14 results,68X in next 17 results,78X in next 19 results,88X in next 22 results,98X in next 24 results,108X in next 27 results,118X in next 29 results,128X in next 32 results,138X in next 34 results
"['""1""', '""2""', '""5""', '""10""']",0.2826855123674912,0.171875,0.12,0.06666666666666667,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""5""', '""CoinFlip""']",0.25857519788918204,0.18992248062015504,0.0967741935483871,0.0945945945945946,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""10""', '""CoinFlip""']",0.3380986418870622,0.2076923076923077,0.13157894736842105,0.11764705882352941,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""10""', '""CoinFlip""']",0.3439306358381503,0.2196969696969697,0.1574074074074074,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""10""', '""CoinFlip""']",0.3645183645183645,0.23103448275862068,0.13114754098360656,0.11764705882352941,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""5""', '""Pachinko""']",0.24691358024691357,0.18309859154929578,0.12844036697247707,0.1518987341772152,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""10""', '""Pachinko""']",0.32505818463925523,0.2202797202797203,0.16153846153846155,0.15555555555555556,0.12280701754385964,0.0967741935483871,0.07142857142857142,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""10""', '""Pachinko""']",0.3226059654631083,0.22413793103448276,0.21774193548387097,0.1625,0.12727272727272726,0.125,0.10344827586206896,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""10""', '""Pachinko""']",0.35108777194298574,0.23734177215189872,0.1956521739130435,0.16666666666666666,0.15789473684210525,0.12121212121212122,0.1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""CoinFlip""', '""Pachinko""']",0.3180327868852459,0.25,0.18243243243243243,0.19327731092436976,0.14942528735632185,0.12195121951219512,0.08333333333333333,0.09090909090909091,0.06666666666666667,0.034482758620689655,0.0,0.0,0.0,0.0
